CVE_ID,published_date,last_Modified_Date,discription,severity,obtain_all_privilege,obtain_user_privilege,user_interacrion_required,cvss2_vector_string,cvss2_access_vector,cvss2_access_complixity,cvss2_authentication,cvss2_confidentiality_impact,cvss2_base_score,cvss3_vectore_string,cvss3_attack_vector,cvss3_attack_complixity,cvss3_privileges_required,cvss3_user_interaction,cvss3_scope,cvss3_confidentiality_impact,cvss3_integrity_impact,cvss3_base_score,cvss3_base_severity,impact_score,ac_insuf_info,problemtype_json
CVE-2018-13073,2018-07-03T01:29Z,2018-08-23T16:32Z,"The mintToken function of a smart contract implementation for ETHEREUMBLACK (ETCBK), an Ethereum token, has an integer overflow that allows the owner of the contract to set the balance of an arbitrary user to any value.",MEDIUM,0,0,0,AV:N/AC:L/Au:N/C:N/I:P/A:N,NETWORK,LOW,NONE,NONE,5,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,NETWORK,NULL,NONE,NONE,UNCHANGED,NONE,HIGH,7,HIGH,3.6,0,"CWE-190
"
CVE-2018-13074,2018-07-03T01:29Z,2018-08-23T16:31Z,"The mintToken function of a smart contract implementation for FIBToken (FIB), an Ethereum token, has an integer overflow that allows the owner of the contract to set the balance of an arbitrary user to any value.",MEDIUM,0,0,0,AV:N/AC:L/Au:N/C:N/I:P/A:N,NETWORK,LOW,NONE,NONE,5,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,NETWORK,NULL,NONE,NONE,UNCHANGED,NONE,HIGH,7,HIGH,3.6,0,"CWE-190
"
CVE-2018-13075,2018-07-03T01:29Z,2020-04-22T13:16Z,"The mintToken function of a smart contract implementation for Carbon Exchange Coin Token (CEC), an Ethereum token, has an integer overflow that allows the owner of the contract to set the balance of an arbitrary user to any value.",MEDIUM,0,0,0,AV:N/AC:L/Au:N/C:N/I:P/A:N,NETWORK,LOW,NONE,NONE,5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,NETWORK,NULL,NONE,NONE,UNCHANGED,NONE,HIGH,7,HIGH,3.6,0,"CWE-190
"
CVE-2018-13076,2018-07-03T01:29Z,2018-08-23T16:31Z,"The mintToken function of a smart contract implementation for Betcash (BC), an Ethereum token, has an integer overflow that allows the owner of the contract to set the balance of an arbitrary user to any value.",MEDIUM,0,0,0,AV:N/AC:L/Au:N/C:N/I:P/A:N,NETWORK,LOW,NONE,NONE,5,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,NETWORK,NULL,NONE,NONE,UNCHANGED,NONE,HIGH,7,HIGH,3.6,0,"CWE-190
"
CVE-2018-13077,2018-07-03T01:29Z,2018-08-23T16:31Z,"The mintToken function of a smart contract implementation for CTB, an Ethereum token, has an integer overflow that allows the owner of the contract to set the balance of an arbitrary user to any value.",MEDIUM,0,0,0,AV:N/AC:L/Au:N/C:N/I:P/A:N,NETWORK,LOW,NONE,NONE,5,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,NETWORK,NULL,NONE,NONE,UNCHANGED,NONE,HIGH,7,HIGH,3.6,0,"CWE-190
"
CVE-2018-13078,2018-07-03T01:29Z,2018-08-23T16:31Z,"The mintToken function of a smart contract implementation for Jitech (JTH), an Ethereum token, has an integer overflow that allows the owner of the contract to set the balance of an arbitrary user to any value.",MEDIUM,0,0,0,AV:N/AC:L/Au:N/C:N/I:P/A:N,NETWORK,LOW,NONE,NONE,5,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,NETWORK,NULL,NONE,NONE,UNCHANGED,NONE,HIGH,7,HIGH,3.6,0,"CWE-190
"
CVE-2018-13079,2018-07-03T01:29Z,2018-08-23T16:31Z,"The mintToken function of a smart contract implementation for GoodTo (GTO), an Ethereum token, has an integer overflow that allows the owner of the contract to set the balance of an arbitrary user to any value.",MEDIUM,0,0,0,AV:N/AC:L/Au:N/C:N/I:P/A:N,NETWORK,LOW,NONE,NONE,5,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,NETWORK,NULL,NONE,NONE,UNCHANGED,NONE,HIGH,7,HIGH,3.6,0,"CWE-190
"
CVE-2018-13080,2018-07-03T01:29Z,2018-08-23T16:31Z,"The mintToken function of a smart contract implementation for Goutex (GTX), an Ethereum token, has an integer overflow that allows the owner of the contract to set the balance of an arbitrary user to any value.",MEDIUM,0,0,0,AV:N/AC:L/Au:N/C:N/I:P/A:N,NETWORK,LOW,NONE,NONE,5,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,NETWORK,NULL,NONE,NONE,UNCHANGED,NONE,HIGH,7,HIGH,3.6,0,"CWE-190
"
CVE-2018-13081,2018-07-03T01:29Z,2020-02-20T17:06Z,"The mintToken function of a smart contract implementation for GZS Token (GZS), an Ethereum token, has an integer overflow that allows the owner of the contract to set the balance of an arbitrary user to any value.",MEDIUM,0,0,0,AV:N/AC:L/Au:N/C:N/I:P/A:N,NETWORK,LOW,NONE,NONE,5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,NETWORK,NULL,NONE,NONE,UNCHANGED,NONE,HIGH,7,HIGH,3.6,0,"CWE-190
"
CVE-2018-13082,2018-07-03T01:29Z,2020-02-20T17:06Z,"The mintToken function of a smart contract implementation for MODI Token (MODI), an Ethereum token, has an integer overflow that allows the owner of the contract to set the balance of an arbitrary user to any value.",MEDIUM,0,0,0,AV:N/AC:L/Au:N/C:N/I:P/A:N,NETWORK,LOW,NONE,NONE,5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,NETWORK,NULL,NONE,NONE,UNCHANGED,NONE,HIGH,7,HIGH,3.6,0,"CWE-190
"
CVE-2018-13083,2018-07-03T01:29Z,2020-02-20T17:05Z,"The mintToken function of a smart contract implementation for Plaza Token (PLAZA), an Ethereum token, has an integer overflow that allows the owner of the contract to set the balance of an arbitrary user to any value.",MEDIUM,0,0,0,AV:N/AC:L/Au:N/C:N/I:P/A:N,NETWORK,LOW,NONE,NONE,5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,NETWORK,NULL,NONE,NONE,UNCHANGED,NONE,HIGH,7,HIGH,3.6,0,"CWE-190
"
CVE-2018-13084,2018-07-03T01:29Z,2020-02-20T17:00Z,"The mintToken function of a smart contract implementation for Good Time Coin (GTY), an Ethereum token, has an integer overflow that allows the owner of the contract to set the balance of an arbitrary user to any value.",MEDIUM,0,0,0,AV:N/AC:L/Au:N/C:N/I:P/A:N,NETWORK,LOW,NONE,NONE,5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,NETWORK,NULL,NONE,NONE,UNCHANGED,NONE,HIGH,7,HIGH,3.6,0,"CWE-190
"
CVE-2018-13085,2018-07-03T01:29Z,2018-08-23T16:30Z,"The mintToken function of a smart contract implementation for FreeCoin (FREE), an Ethereum token, has an integer overflow that allows the owner of the contract to set the balance of an arbitrary user to any value.",MEDIUM,0,0,0,AV:N/AC:L/Au:N/C:N/I:P/A:N,NETWORK,LOW,NONE,NONE,5,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,NETWORK,NULL,NONE,NONE,UNCHANGED,NONE,HIGH,7,HIGH,3.6,0,"CWE-190
"
CVE-2018-13086,2018-07-03T01:29Z,2018-08-23T16:30Z,"The mintToken function of a smart contract implementation for IADOWR Coin (IAD), an Ethereum token, has an integer overflow that allows the owner of the contract to set the balance of an arbitrary user to any value.",MEDIUM,0,0,0,AV:N/AC:L/Au:N/C:N/I:P/A:N,NETWORK,LOW,NONE,NONE,5,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,NETWORK,NULL,NONE,NONE,UNCHANGED,NONE,HIGH,7,HIGH,3.6,0,"CWE-190
"
CVE-2018-13087,2018-07-03T01:29Z,2020-02-20T16:27Z,"The mintToken function of a smart contract implementation for Coinstar (CSTR), an Ethereum token, has an integer overflow that allows the owner of the contract to set the balance of an arbitrary user to any value.",MEDIUM,0,0,0,AV:N/AC:L/Au:N/C:N/I:P/A:N,NETWORK,LOW,NONE,NONE,5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,NETWORK,NULL,NONE,NONE,UNCHANGED,NONE,HIGH,7,HIGH,3.6,0,"CWE-190
"
CVE-2018-13088,2018-07-03T01:29Z,2020-02-20T16:26Z,"The mintToken function of a smart contract implementation for Futures Pease (FP), an Ethereum token, has an integer overflow that allows the owner of the contract to set the balance of an arbitrary user to any value.",MEDIUM,0,0,0,AV:N/AC:L/Au:N/C:N/I:P/A:N,NETWORK,LOW,NONE,NONE,5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,NETWORK,NULL,NONE,NONE,UNCHANGED,NONE,HIGH,7,HIGH,3.6,0,"CWE-190
"
CVE-2018-13089,2018-07-03T01:29Z,2018-08-23T16:29Z,"The mintToken function of a smart contract implementation for Universal Coin (UCOIN), an Ethereum token, has an integer overflow that allows the owner of the contract to set the balance of an arbitrary user to any value.",MEDIUM,0,0,0,AV:N/AC:L/Au:N/C:N/I:P/A:N,NETWORK,LOW,NONE,NONE,5,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,NETWORK,NULL,NONE,NONE,UNCHANGED,NONE,HIGH,7,HIGH,3.6,0,"CWE-190
"
CVE-2018-13090,2018-07-03T01:29Z,2018-08-23T16:29Z,"The mintToken function of a smart contract implementation for YiTongCoin (YTC), an Ethereum token, has an integer overflow that allows the owner of the contract to set the balance of an arbitrary user to any value.",MEDIUM,0,0,0,AV:N/AC:L/Au:N/C:N/I:P/A:N,NETWORK,LOW,NONE,NONE,5,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,NETWORK,NULL,NONE,NONE,UNCHANGED,NONE,HIGH,7,HIGH,3.6,0,"CWE-190
"
CVE-2018-13091,2018-07-03T01:29Z,2018-08-23T16:29Z,"The mintToken function of a smart contract implementation for sumocoin (SUMO), an Ethereum token, has an integer overflow that allows the owner of the contract to set the balance of an arbitrary user to any value.",MEDIUM,0,0,0,AV:N/AC:L/Au:N/C:N/I:P/A:N,NETWORK,LOW,NONE,NONE,5,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,NETWORK,NULL,NONE,NONE,UNCHANGED,NONE,HIGH,7,HIGH,3.6,0,"CWE-190
"
CVE-2018-13092,2018-07-03T01:29Z,2018-08-23T16:28Z,"The mintToken function of a smart contract implementation for Reimburse Token (REIM), an Ethereum token, has an integer overflow that allows the owner of the contract to set the balance of an arbitrary user to any value.",MEDIUM,0,0,0,AV:N/AC:L/Au:N/C:N/I:P/A:N,NETWORK,LOW,NONE,NONE,5,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,NETWORK,NULL,NONE,NONE,UNCHANGED,NONE,HIGH,7,HIGH,3.6,0,"CWE-190
"
CVE-2018-13113,2018-07-03T17:29Z,2018-08-23T16:34Z,"The transfer and transferFrom functions of a smart contract implementation for Easy Trading Token (ETT), an Ethereum token, have an integer overflow.",MEDIUM,0,0,0,AV:N/AC:L/Au:N/C:N/I:P/A:N,NETWORK,LOW,NONE,NONE,5,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,NETWORK,NULL,NONE,NONE,UNCHANGED,NONE,HIGH,7,HIGH,3.6,0,"CWE-190
"
CVE-2018-13126,2018-07-04T00:29Z,2018-08-24T15:27Z,MoxyOnePresale is a smart contract running on Ethereum. The mint function has an integer overflow that allows minted tokens to be arbitrarily retrieved by the contract owner.,MEDIUM,0,0,0,AV:N/AC:L/Au:N/C:N/I:P/A:N,NETWORK,LOW,NONE,NONE,5,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,NETWORK,NULL,NONE,NONE,UNCHANGED,NONE,HIGH,7,HIGH,3.6,0,"CWE-190
"
CVE-2018-13127,2018-07-04T00:29Z,2018-08-24T17:36Z,SP8DE PreSale Token (DSPX) is a smart contract running on Ethereum. The mint function has an integer overflow that allows minted tokens to be arbitrarily retrieved by the contract owner.,MEDIUM,0,0,0,AV:N/AC:L/Au:N/C:N/I:P/A:N,NETWORK,LOW,NONE,NONE,5,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,NETWORK,NULL,NONE,NONE,UNCHANGED,NONE,HIGH,7,HIGH,3.6,0,"CWE-190
"
CVE-2018-13128,2018-07-04T00:29Z,2018-08-24T17:36Z,Etherty Token (ETY) is a smart contract running on Ethereum. The mint function has an integer overflow that allows minted tokens to be arbitrarily retrieved by the contract owner.,MEDIUM,0,0,0,AV:N/AC:L/Au:N/C:N/I:P/A:N,NETWORK,LOW,NONE,NONE,5,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,NETWORK,NULL,NONE,NONE,UNCHANGED,NONE,HIGH,7,HIGH,3.6,0,"CWE-190
"
CVE-2018-13129,2018-07-04T00:29Z,2018-08-23T16:39Z,SP8DE Token (SPX) is a smart contract running on Ethereum. The mint function has an integer overflow that allows minted tokens to be arbitrarily retrieved by the contract owner.,MEDIUM,0,0,0,AV:N/AC:L/Au:N/C:N/I:P/A:N,NETWORK,LOW,NONE,NONE,5,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,NETWORK,NULL,NONE,NONE,UNCHANGED,NONE,HIGH,7,HIGH,3.6,0,"CWE-190
"
CVE-2018-13130,2018-07-04T00:29Z,2018-08-23T16:38Z,Bitotal (TFUND) is a smart contract running on Ethereum. The mintTokens function has an integer overflow that allows minted tokens to be arbitrarily retrieved by the contract owner.,MEDIUM,0,0,0,AV:N/AC:L/Au:N/C:N/I:P/A:N,NETWORK,LOW,NONE,NONE,5,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,NETWORK,NULL,NONE,NONE,UNCHANGED,NONE,HIGH,7,HIGH,3.6,0,"CWE-190
"
CVE-2018-13131,2018-07-04T00:29Z,2018-08-23T16:38Z,SpadePreSale is a smart contract running on Ethereum. The mint function has an integer overflow that allows minted tokens to be arbitrarily retrieved by the contract owner.,MEDIUM,0,0,0,AV:N/AC:L/Au:N/C:N/I:P/A:N,NETWORK,LOW,NONE,NONE,5,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,NETWORK,NULL,NONE,NONE,UNCHANGED,NONE,HIGH,7,HIGH,3.6,0,"CWE-190
"
CVE-2018-13132,2018-07-04T00:29Z,2018-08-23T16:38Z,Spadeico is a smart contract running on Ethereum. The mint function has an integer overflow that allows minted tokens to be arbitrarily retrieved by the contract owner.,MEDIUM,0,0,0,AV:N/AC:L/Au:N/C:N/I:P/A:N,NETWORK,LOW,NONE,NONE,5,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,NETWORK,NULL,NONE,NONE,UNCHANGED,NONE,HIGH,7,HIGH,3.6,0,"CWE-190
"
CVE-2018-13144,2018-07-04T15:29Z,2018-08-23T16:33Z,"The transfer and transferFrom functions of a smart contract implementation for Pandora (PDX), an Ethereum token, have an integer overflow.",MEDIUM,0,0,0,AV:N/AC:L/Au:N/C:N/I:P/A:N,NETWORK,LOW,NONE,NONE,5,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,NETWORK,NULL,NONE,NONE,UNCHANGED,NONE,HIGH,7,HIGH,3.6,0,"CWE-190
"
CVE-2018-13145,2018-07-04T15:29Z,2018-08-23T16:33Z,"The mintToken function of a smart contract implementation for JavaSwapTest (JST), an Ethereum token, has an integer overflow.",MEDIUM,0,0,0,AV:N/AC:L/Au:N/C:N/I:P/A:N,NETWORK,LOW,NONE,NONE,5,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,NETWORK,NULL,NONE,NONE,UNCHANGED,NONE,HIGH,7,HIGH,3.6,0,"CWE-190
"
CVE-2018-13146,2018-07-04T15:29Z,2018-08-23T16:32Z,"The mintToken, buy, and sell functions of a smart contract implementation for LEF, an Ethereum token, have an integer overflow.",MEDIUM,0,0,0,AV:N/AC:L/Au:N/C:N/I:P/A:N,NETWORK,LOW,NONE,NONE,5,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,NETWORK,NULL,NONE,NONE,UNCHANGED,NONE,HIGH,7,HIGH,3.6,0,"CWE-190
"
CVE-2018-13155,2018-07-05T02:29Z,2018-08-17T18:13Z,"The mintToken function of a smart contract implementation for GEMCHAIN (GEM), an Ethereum token, has an integer overflow that allows the owner of the contract to set the balance of an arbitrary user to any value.",MEDIUM,0,0,0,AV:N/AC:L/Au:N/C:N/I:P/A:N,NETWORK,LOW,NONE,NONE,5,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,NETWORK,NULL,NONE,NONE,UNCHANGED,NONE,HIGH,7,HIGH,3.6,0,"CWE-190
"
CVE-2018-13156,2018-07-05T02:29Z,2018-08-17T18:13Z,"The mintToken function of a smart contract implementation for bonusToken (BNS), an Ethereum token, has an integer overflow that allows the owner of the contract to set the balance of an arbitrary user to any value.",MEDIUM,0,0,0,AV:N/AC:L/Au:N/C:N/I:P/A:N,NETWORK,LOW,NONE,NONE,5,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,NETWORK,NULL,NONE,NONE,UNCHANGED,NONE,HIGH,7,HIGH,3.6,0,"CWE-190
"
CVE-2018-13157,2018-07-05T02:29Z,2018-08-17T18:13Z,"The mintToken function of a smart contract implementation for CryptonitexCoin, an Ethereum token, has an integer overflow that allows the owner of the contract to set the balance of an arbitrary user to any value.",MEDIUM,0,0,0,AV:N/AC:L/Au:N/C:N/I:P/A:N,NETWORK,LOW,NONE,NONE,5,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,NETWORK,NULL,NONE,NONE,UNCHANGED,NONE,HIGH,7,HIGH,3.6,0,"CWE-190
"
CVE-2018-13158,2018-07-05T02:29Z,2018-08-17T18:13Z,"The mintToken function of a smart contract implementation for AssetToken, an Ethereum token, has an integer overflow that allows the owner of the contract to set the balance of an arbitrary user to any value.",MEDIUM,0,0,0,AV:N/AC:L/Au:N/C:N/I:P/A:N,NETWORK,LOW,NONE,NONE,5,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,NETWORK,NULL,NONE,NONE,UNCHANGED,NONE,HIGH,7,HIGH,3.6,0,"CWE-190
"
CVE-2018-13159,2018-07-05T02:29Z,2018-08-17T18:13Z,"The mintToken function of a smart contract implementation for bankcoin (BNK), an Ethereum token, has an integer overflow that allows the owner of the contract to set the balance of an arbitrary user to any value.",MEDIUM,0,0,0,AV:N/AC:L/Au:N/C:N/I:P/A:N,NETWORK,LOW,NONE,NONE,5,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,NETWORK,NULL,NONE,NONE,UNCHANGED,NONE,HIGH,7,HIGH,3.6,0,"CWE-190
"
CVE-2018-13160,2018-07-05T02:29Z,2018-08-17T18:13Z,"The mintToken function of a smart contract implementation for etktokens (ETK), an Ethereum token, has an integer overflow that allows the owner of the contract to set the balance of an arbitrary user to any value.",MEDIUM,0,0,0,AV:N/AC:L/Au:N/C:N/I:P/A:N,NETWORK,LOW,NONE,NONE,5,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,NETWORK,NULL,NONE,NONE,UNCHANGED,NONE,HIGH,7,HIGH,3.6,0,"CWE-190
"
CVE-2018-13161,2018-07-05T02:29Z,2018-08-17T18:13Z,"The mintToken function of a smart contract implementation for MultiGames (MLT), an Ethereum token, has an integer overflow that allows the owner of the contract to set the balance of an arbitrary user to any value.",MEDIUM,0,0,0,AV:N/AC:L/Au:N/C:N/I:P/A:N,NETWORK,LOW,NONE,NONE,5,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,NETWORK,NULL,NONE,NONE,UNCHANGED,NONE,HIGH,7,HIGH,3.6,0,"CWE-190
"
CVE-2018-13162,2018-07-05T02:29Z,2018-08-17T18:12Z,"The mintToken function of a smart contract implementation for ALEX, an Ethereum token, has an integer overflow that allows the owner of the contract to set the balance of an arbitrary user to any value.",MEDIUM,0,0,0,AV:N/AC:L/Au:N/C:N/I:P/A:N,NETWORK,LOW,NONE,NONE,5,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,NETWORK,NULL,NONE,NONE,UNCHANGED,NONE,HIGH,7,HIGH,3.6,0,"CWE-190
"
CVE-2018-13163,2018-07-05T02:29Z,2018-08-17T18:12Z,"The mintToken function of a smart contract implementation for Ethernet Cash (ENC), an Ethereum token, has an integer overflow that allows the owner of the contract to set the balance of an arbitrary user to any value.",MEDIUM,0,0,0,AV:N/AC:L/Au:N/C:N/I:P/A:N,NETWORK,LOW,NONE,NONE,5,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,NETWORK,NULL,NONE,NONE,UNCHANGED,NONE,HIGH,7,HIGH,3.6,0,"CWE-190
"
