repo_name,repo_url,repo_id,discription,date_created,date_last_push,homepage,repo_language,forks_count,stars_count,owner
COIN,https://github.com/coindefi/COIN,107709018,The official open-source public repository for the Coin XYZ company.,2017-10-20 17:48:53,2021-08-04 18:31:16,,Solidity,14,36.0,coindefi
golem-contracts,https://github.com/golemfactory/golem-contracts,108125775,,2017-10-24 12:48:22,2022-02-11 15:41:17,,Solidity,9,19.0,golemfactory
quarter-sol,https://github.com/weiks/quarter-sol,108855142,"Quarters, the cryptocurrency for games. Q2 tokens for investors, that are burned as Quarters are bought.",2017-10-30 13:31:50,2022-01-11 05:33:31,https://www.pocketfulofquarters.com,Solidity,3,8.0,weiks
govblocks-protocol,https://github.com/somish/govblocks-protocol,109113134,"An implementation of GovBlocks Protocol smart contracts, written in Solidity",2017-11-01 09:37:05,2021-09-23 16:30:09,https://govblocks.io,Solidity,17,41.0,somish
dnsregistrar,https://github.com/ensdomains/dnsregistrar,110443772,DNS registrar for ENS,2017-11-12 15:26:08,2021-08-10 18:33:31,,Solidity,16,17.0,ensdomains
research,https://github.com/teamforus/research,110525418,Shared learning of decentralized development.,2017-11-13 09:10:57,2019-11-07 21:04:29,https://forus.io,Solidity,6,25.0,teamforus
aragon-id,https://github.com/aragon/aragon-id,110709027,Aragon's simple identity solution to allow easy and secure ENS name assignments,2017-11-14 15:35:21,2021-10-01 12:29:07,https://aragon.org,Solidity,14,26.0,aragon
wamp-xbr,https://github.com/wamp-proto/wamp-xbr,110762083,The XBR Protocol - blockchain protocol for decentralized open data markets,2017-11-15 00:26:58,2021-04-02 13:24:57,https://xbr.network,Solidity,13,9.0,wamp-proto
Valex,https://github.com/ValexCrypto/Valex,111172426,"Valex: A Trustless, Decentralized Cryptocurrency Exchange.",2017-11-18 03:16:03,2018-10-26 20:55:37,,Solidity,2,6.0,ValexCrypto
Audits,https://github.com/authio-ethereum/Audits,111620068,Collection of Line-by-Line commented code for completed Audits,2017-11-22 01:13:32,2019-06-15 17:59:43,https://www.authio.org,Solidity,5,10.0,authio-ethereum
Tokens,https://github.com/bokkypoobah/Tokens,111633870,"Tokens, Tokens, Tokens",2017-11-22 03:54:37,2021-05-25 20:24:43,,Solidity,108,102.0,bokkypoobah
Solidity-Contract-Collection,https://github.com/imshubhamsingh/Solidity-Contract-Collection,111675903,Solidity Contract Collection,2017-11-22 11:28:59,2019-04-07 05:46:27,,Solidity,10,7.0,imshubhamsingh
RBAC-SC,https://github.com/jpmcruz/RBAC-SC,112159341,Solidity Code for the RBAC-SC smart contract,2017-11-27 06:53:47,2021-08-26 05:17:51,,Solidity,8,11.0,jpmcruz
KittenCoin,https://github.com/realKittenCoin/KittenCoin,112388321,Kitten Coin contracts,2017-11-28 20:57:23,2020-11-11 10:32:35,,Solidity,1,8.0,realKittenCoin
unlock,https://github.com/unlock-protocol/unlock,112683472,?nlock is a protocol for memberships built on a blockchain.,2017-12-01 02:08:01,2022-04-29 21:41:08,https://unlock-protocol.com,Solidity,145,624.0,unlock-protocol
blacklist,https://github.com/ensdomains/blacklist,112764186,Blacklisting tools for ENS,2017-12-01 16:53:41,2018-08-07 11:53:36,,Solidity,6,8.0,ensdomains
private-chain,https://github.com/ahester57/private-chain,113264803,"(Solidity/Shell/Nodejs) Running a private chain using geth, and some example smart contracts.",2017-12-06 03:37:24,2018-05-22 16:46:37,,Solidity,1,16.0,ahester57
renex-sol,https://github.com/republicprotocol/renex-sol,113380038,"RenEx Ethereum contracts, written in Solidity",2017-12-06 23:51:48,2019-08-14 19:39:38,https://republicprotocol.com,Solidity,52,91.0,republicprotocol
ERC20-Token-and-ICO-Contract,https://github.com/halls7588/ERC20-Token-and-ICO-Contract,114149819,ERC20 token contract and ICO smart contract,2017-12-13 17:30:47,2018-10-03 14:18:37,,Solidity,34,42.0,halls7588
median,https://github.com/makerdao/median,114281920,Medianizer 2,2017-12-14 18:12:42,2021-12-11 15:47:39,,Solidity,18,14.0,makerdao
Cold-staking,https://github.com/EthereumCommonwealth/Cold-staking,114563063,,2017-12-17 19:34:15,2021-05-11 07:40:13,,Solidity,18,20.0,EthereumCommonwealth
learn-blockchain,https://github.com/liushooter/learn-blockchain,114752756,??????? https://github.com/rebase-network/Dapp-Learning,2017-12-19 10:40:01,2021-09-05 06:20:26,,Solidity,5,27.0,liushooter
P2P-Exchange,https://github.com/nisdas/P2P-Exchange,114906859,Peer to Peer Exchange ,2017-12-20 16:12:51,2022-04-28 05:05:20,,Solidity,3,7.0,nisdas
DecentralisedFutureFundDAO,https://github.com/bokkypoobah/DecentralisedFutureFundDAO,115164587,Decentralised Future Fund DAO,2017-12-23 02:23:33,2018-04-17 14:14:56,,Solidity,4,24.0,bokkypoobah
purpose,https://github.com/nionis/purpose,115279759,"Purpose and DUBI, ethereum tokens aiming to make the world a better place",2017-12-24 18:07:59,2018-12-21 11:25:58,,Solidity,7,36.0,nionis
ERC223Token,https://github.com/Dexaran/ERC223Token,115363216,,2017-12-25 21:08:48,2021-09-21 16:32:29,,Solidity,27,19.0,Dexaran
cryptotulip,https://github.com/cagriaksay/cryptotulip,115377586,CryptoTulip — digital art on the blockchain.,2017-12-26 02:27:53,2021-10-19 13:33:36,https://cryptotulip.co,Solidity,4,9.0,cagriaksay
ethereum,https://github.com/solidblu1992/ethereum,115809833,,2017-12-30 16:45:56,2019-10-17 23:56:40,,Solidity,3,18.0,solidblu1992
protocol,https://github.com/DexyProject/protocol,115925351,DEXY Smart contracts,2018-01-01 14:47:12,2018-07-03 10:20:03,,Solidity,3,20.0,DexyProject
pendulum,https://github.com/alpertayfun/pendulum,116129396,New Age Cryptocurrency,2018-01-03 11:30:14,2022-02-14 10:09:04,,Solidity,0,0.0,alpertayfun
Ethereum-Offline-Sign-Send,https://github.com/RyanHendricks/Ethereum-Offline-Sign-Send,116155136,"Create, sign, and deploy Ethereum Smart-Contracts with a single click. :checkered_flag:",2018-01-03 15:56:01,2018-02-21 02:52:05,,Solidity,2,4.0,RyanHendricks
iot-blockchain,https://github.com/Olivierwenger/iot-blockchain,116270479,truffle project with iot contract and test,2018-01-04 14:39:31,2021-03-25 09:12:14,,Solidity,0,0.0,Olivierwenger
ERC820,https://github.com/jbaylina/ERC820,116379906,EIP 820 - Pseudo-introspaection using a registry contract,2018-01-05 11:52:37,2019-04-17 10:06:07,,Solidity,16,26.0,jbaylina
pay-protocol,https://github.com/aragonlabs/pay-protocol,116570568,fixing the transition to a cashless world,2018-01-07 14:09:20,2018-07-09 21:28:22,,Solidity,4,32.0,aragonlabs
smart-contracts,https://github.com/dragonglasscom/smart-contracts,116680285,Dragonglass smart contracts repository,2018-01-08 13:29:32,2018-12-15 14:37:20,https://dragonglass.com,Solidity,1,21.0,dragonglasscom
Nine-Lives-Contracts,https://github.com/janbro/Nine-Lives-Contracts,117174037,,2018-01-12 01:12:52,2022-02-04 20:54:37,,Solidity,0,6.0,janbro
cgs-contracts,https://github.com/Icofunding/cgs-contracts,117234256,Smart contracts for the CGS platform,2018-01-12 11:39:12,2019-01-15 10:14:24,,Solidity,0,0.0,Icofunding
sharder-token,https://github.com/Sharders/sharder-token,117331150,ERC20-token: Sharder Storage,2018-01-13 09:30:00,2022-04-28 07:02:37,,Solidity,2,2.0,Sharders
ERC-ME,https://github.com/ghiliweld/ERC-ME,117403120,ERC-ME is a digital personal badge for use in Dapps and other contracts on the blockchain,2018-01-14 05:00:59,2018-01-28 01:33:44,,Solidity,3,3.0,ghiliweld
cryptocurrency,https://github.com/ciphs/cryptocurrency,117446160,CIPHS© Cryptocurrency & Consensus Code,2018-01-14 16:19:46,2021-05-03 20:08:34,http://ciphs.org,Solidity,2,2.0,ciphs
proxy-registry,https://github.com/makerdao/proxy-registry,117568896,This Registry deploys new proxy instances through DSProxyFactory and keeps a registry of owner => proxy,2018-01-15 16:28:53,2022-01-31 23:41:53,,Solidity,18,10.0,makerdao
bacoin,https://github.com/Simplexletalis/bacoin,117728344,,2018-01-16 19:06:48,2022-02-25 16:40:08,http://bacoin.tech,Solidity,0,0.0,Simplexletalis
truffle-dev-ci,https://github.com/gyng/truffle-dev-ci,117780659,Exploratory development + CI environment configuration setup example for Truffle/Solidity,2018-01-17 03:49:51,2020-10-27 10:43:37,,Solidity,1,0.0,gyng
bct,https://github.com/sambhav2612/bct,117924217,bct work I'm doing,2018-01-18 03:02:14,2021-09-16 09:19:44,https://docs.google.com/document/d/e/2PACX-1vQ4sbDQbAh4vYHm3_6X5wwY9tZMkPwZYdteKI-X0ECj9bZWh8rk_NNA49Nd7GzDY72umw9Xww7FbG54/pub,Solidity,0,0.0,sambhav2612
parsec-contracts,https://github.com/artplant/parsec-contracts,117966540,Parsec smart contracts,2018-01-18 10:15:00,2018-05-10 13:38:12,,Solidity,0,0.0,artplant
private-network,https://github.com/GovTechSG/private-network,118081780,This is an example implementation of Proof of Authority consesus network as implemented by the Parity Ethereum client. The validator set is backed by a smart contract.,2018-01-19 05:33:34,2018-03-16 06:15:17,,Solidity,1,3.0,GovTechSG
LootSafe.Market.module,https://github.com/LootSafe/LootSafe.Market.module,118202877,,2018-01-20 02:56:56,2018-03-26 03:07:58,,Solidity,0,0.0,LootSafe
zxbt,https://github.com/ZerroXBToken/zxbt,118293863,zet,2018-01-21 01:03:21,2020-11-11 22:42:31,,Solidity,2,0.0,ZerroXBToken
sol,https://github.com/Meeshbhoombah/sol,118301386,?????? Exercises · ?? Challenges,2018-01-21 03:33:20,2022-01-12 20:23:14,,Solidity,1,0.0,Meeshbhoombah
SaxoniaCoin,https://github.com/sbley/SaxoniaCoin,118503230,ERC-20 token - Truffle project,2018-01-22 19:18:55,2022-01-16 16:18:47,,Solidity,0,0.0,sbley
Lottery-SmartContract-SC1,https://github.com/bulengerkacper/Lottery-SmartContract-SC1,118519655,Smart Contract made in Solidity in learning purposes. ,2018-01-22 21:48:22,2022-01-22 20:37:03,,Solidity,0,0.0,bulengerkacper
hodlersbay-contracts,https://github.com/waymobetta/hodlersbay-contracts,118710091,"Ethereum smart contracts for the Hodlers' Bay, a decentralized web application that rewards users for how long their ether has been staked",2018-01-24 04:06:51,2018-03-13 18:05:24,,Solidity,0,0.0,waymobetta
LittleCow,https://github.com/de4dL0ck13/LittleCow,118712305,Vaquinha - ICO Pool Smart Contract,2018-01-24 04:34:32,2020-11-11 14:54:05,,Solidity,1,2.0,de4dL0ck13
RingCrypto,https://github.com/mattdf/RingCrypto,118781172,Ring signature related implementations for ethereum,2018-01-24 15:07:04,2021-11-23 03:37:03,,Solidity,1,20.0,mattdf
dubiex,https://github.com/nionis/dubiex,119177936,"A fully decentralized, no fees, ethereum exchange for tokens, unofficial website",2018-01-27 15:51:12,2018-12-21 11:26:01,https://www.dubiex.com/,Solidity,18,23.0,nionis
ethernaut,https://github.com/waymobetta/ethernaut,119446822,learnings when attempting the Ethernaut CTF (Devcon3),2018-01-29 21:54:14,2018-03-13 18:05:44,,Solidity,0,0.0,waymobetta
TurtleToken,https://github.com/pieceofr/TurtleToken,119620184,ECR20 Implementation in Solidity for a simple token called Turtle Coin,2018-01-31 01:57:12,2018-02-10 14:02:32,,Solidity,0,0.0,pieceofr
abyss-daico,https://github.com/abyssfinance/abyss-daico,119739681,"DAICO is an innovative fundraising model that merges some of the benefits of Decentralized Autonomous Organizations (DAOs), aimed at upgrading and making the initial ICO concept more transparent.",2018-01-31 20:30:33,2018-12-31 00:47:26,,Solidity,51,102.0,abyssfinance
htb-multisig,https://github.com/drcode/htb-multisig,119765718,HTB Multisig Contract,2018-02-01 01:26:23,2018-02-20 16:24:28,,Solidity,2,6.0,drcode
CryptoZombiesSolutions,https://github.com/nikoskar/CryptoZombiesSolutions,119822149,My solutions(with lvl4),2018-02-01 10:44:03,2020-10-12 22:27:54,,Solidity,0,0.0,nikoskar
bursadex,https://github.com/termslang/bursadex,119849682,,2018-02-01 14:52:07,2021-11-30 17:21:27,,Solidity,1,3.0,termslang
token,https://github.com/ptrwtts/token,119894859,,2018-02-01 21:18:05,2018-02-01 21:22:15,,Solidity,0,1.0,ptrwtts
0xbitcoin-token,https://github.com/0xbitcoin/0xbitcoin-token,119932968,Bitcoin implemented as a token smart contract on Ethereum. ,2018-02-02 04:43:58,2021-08-04 06:03:09,http://0xbitcoin.org,Solidity,70,77.0,0xbitcoin
gluon-contracts,https://github.com/gluon-project/gluon-contracts,120030033,Contracts used by gluon-project,2018-02-02 20:52:16,2018-09-27 10:24:08,,Solidity,1,2.0,gluon-project
spec,https://github.com/raiden-network/spec,120174592,Spec of the Raiden Network protocol,2018-02-04 10:22:08,2021-11-11 16:41:15,,Solidity,20,8.0,raiden-network
tictactoe-solidity,https://github.com/fmrsabino/tictactoe-solidity,120200501,,2018-02-04 16:09:52,2020-12-25 12:20:47,,Solidity,0,0.0,fmrsabino
crypto-swear-jar,https://github.com/lukehedger/crypto-swear-jar,120322754,?? Crypto-backed verbal discipline,2018-02-05 15:25:24,2018-03-02 15:03:02,,Solidity,0,3.0,lukehedger
Ethereum,https://github.com/figs999/Ethereum,120364107,Useful sample code for various Ethereum smart contracts,2018-02-05 21:28:18,2022-04-04 18:54:14,,Solidity,9,70.0,figs999
solidity-in-depth,https://github.com/romfrolov/solidity-in-depth,120370845,,2018-02-05 22:36:12,2018-03-08 18:33:29,,Solidity,0,0.0,romfrolov
gameofblocks-2018-smart-contract,https://github.com/ScreenshotLabs/gameofblocks-2018-smart-contract,120378311,Game of Blocks smart contract,2018-02-06 00:08:05,2021-12-30 23:33:49,,Solidity,0,4.0,ScreenshotLabs
ether-campaign-contract,https://github.com/DonaldPeat/ether-campaign-contract,120389523,,2018-02-06 02:19:49,2018-04-20 07:01:17,,Solidity,0,0.0,DonaldPeat
clone-factory,https://github.com/optionality/clone-factory,120467565,Simple clone contract factory,2018-02-06 14:13:30,2021-09-07 10:11:54,,Solidity,59,251.0,optionality
decentralized-marketplace,https://github.com/donaldng/decentralized-marketplace,120625247,decentralized online marketplace with smart contract,2018-02-07 14:25:37,2018-02-08 15:57:22,,Solidity,1,2.0,donaldng
master-storage,https://github.com/levelkdev/master-storage,120629022,,2018-02-07 14:56:35,2018-02-13 04:50:41,,Solidity,1,1.0,levelkdev
Test-Token,https://github.com/Cyzerx/Test-Token,120653916,,2018-02-07 18:25:13,2022-04-20 12:33:51,,Solidity,0,0.0,Cyzerx
smart-contract,https://github.com/U-Network/smart-contract,120656583,smart contract,2018-02-07 18:49:04,2021-07-30 09:01:34,,Solidity,2,5.0,U-Network
solidity-BigNumber,https://github.com/firoorg/solidity-BigNumber,120783598,,2018-02-08 16:02:50,2020-09-01 15:06:23,,Solidity,12,45.0,firoorg
truffle-debug-example,https://github.com/MadCow234/truffle-debug-example,121198041,,2018-02-12 04:02:18,2018-02-24 21:18:47,,Solidity,0,0.0,MadCow234
ERC20Token,https://github.com/ShubhamTatvamasi/ERC20Token,121265033,Ethereum ERC20 Token Smart Contract,2018-02-12 15:36:58,2018-02-21 14:29:26,,Solidity,0,1.0,ShubhamTatvamasi
upgradability-examples,https://github.com/levelkdev/upgradability-examples,121429585,Examples of upgradability patterns using https://github.com/levelkdev/upgradability-contracts,2018-02-13 19:57:51,2018-02-20 18:35:11,,Solidity,0,2.0,levelkdev
parity-bridge-research,https://github.com/poanetwork/parity-bridge-research,121430450,Reasarch of https://github.com/paritytech/parity-bridge/,2018-02-13 20:05:28,2018-06-03 19:20:02,,Solidity,2,5.0,poanetwork
solidity-patterns,https://github.com/fravoll/solidity-patterns,121522860,A compilation of patterns and best practices for the smart contract programming language Solidity,2018-02-14 14:56:12,2022-04-22 16:47:01,https://fravoll.github.io/solidity-patterns/,Solidity,305,1807.0,fravoll
Sidechains,https://github.com/bonedaddy/Sidechains,121598560,Sidechain repository. Intended to link a private/sidechain to the main ethereum network (or other),2018-02-15 06:36:05,2018-03-11 07:21:26,,Solidity,1,3.0,bonedaddy
airdroppers,https://github.com/nionis/airdroppers,121613275,Air-droppers for sending batches of ether or tokens,2018-02-15 09:54:21,2018-02-27 18:08:01,,Solidity,6,3.0,nionis
Ethereum-Smart-Contract-Development,https://github.com/PacktPublishing/Ethereum-Smart-Contract-Development,121626214,"Ethereum Smart Contract Development, published by Packt",2018-02-15 12:16:37,2021-01-14 14:52:55,,Solidity,16,22.0,PacktPublishing
erc721-example,https://github.com/fulldecent/erc721-example,121737226,A scalable example of the ERC-721 standard,2018-02-16 10:10:33,2021-03-15 20:40:58,,Solidity,5,19.0,fulldecent
blockchain-guide,https://github.com/vuurball/blockchain-guide,121767652,learning blockchain technology,2018-02-16 15:40:40,2021-08-02 08:42:58,,Solidity,0,0.0,vuurball
GitMesh.contracts,https://github.com/TeamDotSol/GitMesh.contracts,121821427,,2018-02-17 02:32:21,2018-02-18 15:49:58,,Solidity,0,0.0,TeamDotSol
bucket-net-contract,https://github.com/mowchan/bucket-net-contract,121832392,IoT agriculture on Ethereum,2018-02-17 06:16:20,2022-01-30 08:38:59,,Solidity,0,0.0,mowchan
CDP-leverager,https://github.com/KentonPrescott/CDP-leverager,121835959,Margin trading tool for ETH long positions,2018-02-17 07:25:41,2018-09-23 16:44:09,,Solidity,1,21.0,KentonPrescott
Decentralized-World-Wide-Web-ERC-721,https://github.com/AYIDouble/Decentralized-World-Wide-Web-ERC-721,121841451,?? A decentralized World Wide Web on the Ethereum Blockchain ?? (Still in the Proof of Concept stage),2018-02-17 09:08:28,2021-03-30 18:51:04,,Solidity,5,12.0,AYIDouble
EthDenver,https://github.com/ohowland/EthDenver,121894681,EthDenver2018 - Energy trading behind the meter,2018-02-17 21:37:19,2020-09-27 18:21:53,,Solidity,0,0.0,ohowland
lifeforms-contracts,https://github.com/ana0/lifeforms-contracts,121917555,,2018-02-18 04:27:52,2022-02-09 14:34:11,,Solidity,0,2.0,ana0
smart-contracts,https://github.com/tsauvajon/smart-contracts,121992709,Small smart contracts to learn Solidity in depth,2018-02-18 21:33:04,2018-02-18 21:43:17,,Solidity,1,1.0,tsauvajon
contracts,https://github.com/measurabledatatoken/contracts,122028466,MDT smart contracts,2018-02-19 06:57:42,2021-09-27 06:58:53,,Solidity,0,5.0,measurabledatatoken
thisContract,https://github.com/ShubhamTatvamasi/thisContract,122042106,thisContract | solidity smart contract,2018-02-19 09:37:26,2018-02-22 04:17:14,,Solidity,0,0.0,ShubhamTatvamasi
util-contracts,https://github.com/gnosis/util-contracts,122051834,Utility contracts for Gnosis,2018-02-19 11:15:03,2022-04-25 10:04:55,,Solidity,12,16.0,gnosis
maxUintContract,https://github.com/ShubhamTatvamasi/maxUintContract,122092603,maxUintContract | maximum uint value,2018-02-19 16:52:39,2018-02-20 09:40:49,,Solidity,0,0.0,ShubhamTatvamasi
maxToken,https://github.com/ShubhamTatvamasi/maxToken,122095203,maxToken | Maximum Tokens smart contract,2018-02-19 17:14:15,2018-02-22 04:24:04,,Solidity,0,0.0,ShubhamTatvamasi
room-reservation-contract,https://github.com/Bigomby/room-reservation-contract,122097656,[WIP] Room reservation system smart contract,2018-02-19 17:35:56,2018-08-08 08:46:18,,Solidity,3,3.0,Bigomby
trufflib,https://github.com/appliedblockchain/trufflib,122229834,Shared solidity libraries and helpers for testing etc,2018-02-20 17:16:50,2019-06-03 14:09:02,,Solidity,0,0.0,appliedblockchain
crowdsale,https://github.com/dimriou/crowdsale,122327090,,2018-02-21 11:20:55,2018-04-25 13:26:03,,Solidity,0,0.0,dimriou
EthereumExample,https://github.com/BCecatto/EthereumExample,122376877,,2018-02-21 18:36:51,2018-03-24 20:31:06,,Solidity,0,0.0,BCecatto
lucidity-plasma,https://github.com/luciditytech/lucidity-plasma,122382005,Minimum Viable Plasma Implementation,2018-02-21 19:21:10,2018-10-23 13:16:40,,Solidity,7,21.0,luciditytech
redistribution_poc,https://github.com/LanguageNetwork/redistribution_poc,122441242,POC code for token redistribution ,2018-02-22 06:47:55,2018-03-19 08:23:40,,Solidity,0,3.0,LanguageNetwork
solidity_patterns,https://github.com/maxwoe/solidity_patterns,122487248,Smart Contracts Design Patterns in the Ethereum Ecosystem and Solidity Code,2018-02-22 14:10:18,2021-06-21 07:19:05,,Solidity,5,39.0,maxwoe
McFly-sc-2.1.2,https://github.com/civilman2006/McFly-sc-2.1.2,122504648,McFly smart contract ver 2.1.2,2018-02-22 16:31:04,2018-03-30 19:02:54,http://mcfly.aero,Solidity,1,0.0,civilman2006
Solidity,https://github.com/Etheraffle/Solidity,122554572,"Etheraffle - a decentralized, charitable blockchain lottery.",2018-02-23 00:53:22,2018-07-08 09:29:07,https://etheraffle.com,Solidity,2,2.0,Etheraffle
osm,https://github.com/makerdao/osm,122663029,Feed with 1 hour delay,2018-02-23 19:20:08,2021-10-24 11:18:55,,Solidity,20,16.0,makerdao
solidity-examples,https://github.com/rajraj/solidity-examples,122720039,Solidity Examples,2018-02-24 08:27:16,2018-03-04 21:11:00,,Solidity,0,1.0,rajraj
Blockchain_lab,https://github.com/mmumba/Blockchain_lab,122775554,experimental block chain,2018-02-24 20:08:03,2021-02-03 14:49:43,,Solidity,0,0.0,mmumba
verified-smart-contracts,https://github.com/runtimeverification/verified-smart-contracts,122777635,Smart contracts which are formally verified,2018-02-24 20:36:23,2021-09-08 15:11:41,,Solidity,106,380.0,runtimeverification
smart-contracts,https://github.com/BurrowCoin/smart-contracts,122802559,Solidity Smart Contracts for BurrowCoin,2018-02-25 03:41:24,2018-03-29 16:52:31,,Solidity,1,0.0,BurrowCoin
Dcourt,https://github.com/Lamarkaz/Dcourt,123042461,Dcourt Solidity contracts,2018-02-26 23:02:55,2018-10-08 06:37:17,https://dcourt.io,Solidity,1,11.0,Lamarkaz
pnt-eth-erc20,https://github.com/pentaglobal/pnt-eth-erc20,123055436,penta eth erc20 token code,2018-02-27 01:36:34,2020-11-11 14:58:40,,Solidity,0,2.0,pentaglobal
2018-cap1-29,https://github.com/kookmin-sw/2018-cap1-29,123095399,"An incentivied, blockchain-based, Q&A service",2018-02-27 08:12:24,2020-01-18 23:30:14,,Solidity,2,0.0,kookmin-sw
token,https://github.com/IceCream-Project/token,123109326,ERC20 Code,2018-02-27 09:58:16,2021-03-05 09:14:07,,Solidity,0,0.0,IceCream-Project
dpt-token,https://github.com/Cdiamondcoin/dpt-token,123145103,DPT Ethereum smart contract,2018-02-27 15:01:04,2020-02-03 16:56:23,,Solidity,1,6.0,Cdiamondcoin
generic-storage,https://github.com/nionis/generic-storage,123166908,Simple generic storage for solidity,2018-02-27 17:53:32,2018-04-30 18:08:58,,Solidity,1,0.0,nionis
